Team,GP,MIN,W,L,Win%,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,+/-
Atlanta Hawks,82,3971,44,38,0.537,3084,6644,0.464,706,1901,0.371,1158,1619,0.715,758,2593,3351,2007,1219,664,369,350,1473,8032,33
Boston Celtics,81,3968,41,40,0.506,3001,6459,0.465,498,1390,0.358,1318,1698,0.776,654,2533,3187,1843,1181,667,365,378,1717,7818,-18
Brooklyn Nets,82,3970,49,33,0.598,2942,6544,0.45,628,1760,0.357,1432,1958,0.731,1047,2460,3507,1668,1206,599,391,390,1500,7944,146
Charlotte Bobcats,82,3961,21,61,0.256,2823,6649,0.425,469,1399,0.335,1546,2060,0.75,917,2389,3306,1587,1153,591,479,565,1561,7661,-757
Chicago Bulls,82,3966,45,37,0.549,2926,6698,0.437,446,1265,0.353,1343,1738,0.773,1026,2514,3540,1886,1171,588,417,477,1617,7641,26
Cleveland Cavaliers,82,3945,24,58,0.293,2993,6901,0.434,547,1581,0.346,1380,1826,0.756,1004,2359,3363,1694,1149,647,334,560,1737,7913,-384
Dallas Mavericks,82,3996,41,41,0.5,3182,6892,0.462,606,1628,0.372,1323,1669,0.793,767,2670,3437,1906,1144,648,454,340,1698,8293,-49
Denver Nuggets,82,3981,57,25,0.695,3339,6983,0.478,521,1518,0.343,1505,2148,0.701,1092,2601,3693,2002,1253,762,533,554,1682,8704,417
Detroit Pistons,82,3961,29,53,0.354,2979,6638,0.449,513,1440,0.356,1307,1870,0.699,991,2463,3454,1742,1241,574,400,472,1623,7778,-327
Golden State Warriors,82,3961,47,35,0.573,3130,6840,0.458,658,1632,0.403,1378,1744,0.79,885,2801,3686,1845,1236,567,346,399,1753,8296,73
Houston Rockets,82,3956,45,37,0.549,3124,6782,0.461,867,2369,0.366,1573,2087,0.754,909,2652,3561,1902,1348,679,359,498,1662,8688,285
Indiana Pacers,81,3918,49,32,0.605,2845,6525,0.436,555,1599,0.347,1429,1915,0.746,1043,2671,3714,1645,1227,580,513,459,1623,7674,326
Los Angeles Clippers,82,3946,56,26,0.683,3160,6608,0.478,627,1752,0.358,1342,1888,0.711,938,2475,3413,1958,1197,784,461,335,1716,8289,529
Los Angeles Lakers,82,3951,45,37,0.549,3041,6640,0.458,715,2015,0.355,1584,2289,0.692,942,2732,3674,1818,1232,576,429,396,1467,8381,95
Memphis Grizzlies,82,3961,56,26,0.683,2964,6679,0.444,382,1107,0.345,1349,1746,0.773,1059,2445,3504,1715,1144,703,436,450,1660,7659,340
Miami Heat,82,3975,66,16,0.805,3148,6348,0.496,717,1809,0.396,1423,1887,0.754,676,2490,3166,1890,1143,710,441,262,1533,8436,645
Milwaukee Bucks,82,3965,38,44,0.463,3128,7197,0.435,601,1670,0.36,1251,1700,0.736,1068,2537,3605,1876,1156,685,550,362,1554,8108,-123
Minnesota Timberwolves,82,3946,31,51,0.378,2943,6702,0.439,450,1475,0.305,1515,2042,0.742,973,2473,3446,1836,1214,700,387,481,1509,7851,-194
New Orleans Hornets,82,3956,27,55,0.329,2955,6589,0.448,535,1474,0.363,1269,1636,0.776,988,2426,3414,1721,1193,520,440,492,1673,7714,-317
New York Knicks,82,3946,54,28,0.659,2996,6689,0.448,891,2371,0.376,1313,1729,0.759,890,2436,3326,1579,988,672,294,327,1650,8196,347
Oklahoma City Thunder,82,3966,60,22,0.732,3126,6504,0.481,598,1588,0.377,1819,2196,0.828,854,2725,3579,1753,1253,679,624,322,1654,8669,755
Orlando Magic,82,3956,20,62,0.244,3093,6904,0.448,506,1537,0.329,1026,1359,0.755,890,2612,3502,1871,1191,528,358,430,1591,7718,-573
Philadelphia 76ers,82,3951,34,48,0.415,3059,6895,0.444,518,1438,0.36,1004,1377,0.729,896,2493,3389,1867,1070,609,384,396,1505,7640,-274
Phoenix Suns,82,3961,25,57,0.305,3061,6917,0.443,480,1455,0.33,1203,1618,0.744,959,2454,3413,1855,1278,659,434,421,1688,7805,-530
Portland Trail Blazers,82,3970,33,49,0.402,3009,6715,0.448,673,1904,0.353,1304,1680,0.776,874,2474,3348,1784,1203,538,353,359,1518,7995,-260
Sacramento Kings,82,3966,28,54,0.341,3086,6904,0.447,610,1681,0.363,1437,1869,0.769,943,2385,3328,1708,1199,671,342,517,1717,8219,-400
San Antonio Spurs,82,3976,58,24,0.707,3210,6675,0.481,663,1764,0.376,1365,1725,0.791,666,2721,3387,2058,1206,695,446,405,1427,8448,525
Toronto Raptors,82,3996,34,48,0.415,2979,6685,0.446,571,1665,0.343,1442,1831,0.788,871,2426,3297,1765,1124,595,392,387,1836,7971,-121
Utah Jazz,82,3976,43,39,0.524,3046,6710,0.454,507,1385,0.366,1439,1883,0.764,989,2457,3446,1859,1210,690,515,480,1750,8038,-7
Washington Wizards,82,3971,29,53,0.354,2910,6693,0.435,545,1495,0.365,1279,1746,0.733,887,2652,3539,1775,1238,598,376,358,1681,7644,-208
