Team,GP,MIN,W,L,Win%,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,+/-
Atlanta Hawks,66,3233,40,26,0.606,2429,5348,0.454,492,1330,0.37,1025,1385,74.00%,652,2066,2718,1481,921,536,303,313,1178,6375,227
Boston Celtics,66,3188,39,27,0.591,2341,5086,0.46,363,988,0.367,1017,1308,77.80%,509,2051,2560,1557,979,498,362,304,1315,6062,166
Charlotte Bobcats,66,3178,7,59,0.106,2193,5293,0.414,263,892,0.295,1090,1462,74.60%,677,1894,2571,1326,957,397,361,378,1249,5739,-918
Chicago Bulls,66,3188,50,16,0.758,2467,5462,0.452,419,1117,0.375,1006,1394,72.20%,915,2165,3080,1527,923,456,388,343,1139,6359,540
Cleveland Cavaliers,66,3193,21,45,0.318,2261,5360,0.422,440,1273,0.346,1178,1645,71.60%,841,1949,2790,1308,1017,466,262,409,1317,6140,-475
Dallas Mavericks,66,3213,36,30,0.545,2398,5412,0.443,497,1464,0.339,1029,1334,77.10%,665,2157,2822,1380,926,565,337,265,1226,6322,63
Denver Nuggets,66,3208,38,28,0.576,2572,5404,0.476,435,1311,0.332,1293,1760,73.50%,738,2105,2843,1581,1015,540,330,439,1297,6872,190
Detroit Pistons,66,3193,25,41,0.379,2291,5232,0.438,317,916,0.346,1098,1461,75.20%,775,1882,2657,1232,1033,460,278,348,1293,5997,-316
Golden State Warriors,66,3183,23,43,0.348,2489,5443,0.457,524,1351,0.388,951,1235,77.00%,640,1947,2587,1470,915,528,362,328,1410,6453,-225
Houston Rockets,66,3213,34,32,0.515,2489,5543,0.449,478,1330,0.359,1018,1301,78.20%,769,2014,2783,1404,955,496,319,340,1347,6474,15
Indiana Pacers,66,3198,42,24,0.636,2354,5375,0.438,392,1064,0.368,1349,1724,78.20%,826,2070,2896,1228,925,523,357,398,1430,6449,218
Los Angeles Clippers,66,3193,40,26,0.606,2439,5366,0.455,514,1441,0.357,1046,1538,68.00%,800,1943,2743,1385,879,556,315,296,1399,6438,169
Los Angeles Lakers,66,3213,41,25,0.621,2429,5319,0.457,362,1112,0.326,1202,1589,75.60%,799,2251,3050,1485,997,390,351,302,1109,6422,94
Memphis Grizzlies,66,3188,41,25,0.621,2425,5422,0.447,277,849,0.326,1142,1504,75.90%,831,1944,2775,1290,955,631,345,363,1316,6269,133
Miami Heat,66,3208,46,20,0.697,2446,5212,0.469,370,1030,0.359,1238,1598,77.50%,686,2060,2746,1317,1002,585,355,280,1282,6500,395
Milwaukee Bucks,66,3173,31,35,0.47,2502,5652,0.443,436,1265,0.345,1095,1415,77.40%,820,1983,2803,1550,929,548,335,297,1273,6535,18
Minnesota Timberwolves,66,3188,26,40,0.394,2355,5434,0.433,473,1423,0.332,1281,1662,77.10%,797,2089,2886,1290,1001,436,293,377,1212,6464,-145
New Jersey Nets,66,3178,22,44,0.333,2262,5320,0.425,507,1481,0.342,1113,1433,77.70%,783,1879,2662,1311,995,493,260,330,1268,6144,-395
New Orleans Hornets,66,3188,21,45,0.318,2300,5103,0.451,259,777,0.333,1057,1397,75.70%,724,1991,2715,1368,1024,488,316,380,1324,5916,-248
New York Knicks,66,3188,36,30,0.545,2365,5335,0.443,517,1538,0.336,1211,1634,74.10%,743,2012,2755,1328,1056,622,276,334,1391,6458,211
Oklahoma City Thunder,66,3198,47,19,0.712,2462,5229,0.471,472,1317,0.358,1406,1744,80.60%,726,2157,2883,1224,1079,498,539,321,1352,6802,404
Orlando Magic,66,3193,37,29,0.561,2275,5162,0.441,670,1785,0.375,995,1508,66.00%,742,2060,2802,1321,984,451,275,273,1168,6215,52
Philadelphia 76ers,66,3183,35,31,0.53,2471,5516,0.448,349,963,0.362,889,1198,74.20%,704,2144,2848,1453,738,526,340,316,1157,6180,280
Phoenix Suns,66,3168,33,33,0.5,2495,5445,0.458,444,1295,0.343,1058,1397,75.70%,717,2035,2752,1486,928,431,366,288,1233,6492,-16
Portland Trail Blazers,66,3193,28,38,0.424,2402,5417,0.443,478,1382,0.346,1133,1423,79.60%,735,1949,2684,1349,935,528,322,314,1251,6415,-41
Sacramento Kings,66,3183,22,44,0.333,2490,5712,0.436,411,1301,0.316,1127,1532,73.60%,882,1947,2829,1271,952,561,323,423,1287,6518,-375
San Antonio Spurs,66,3188,50,16,0.758,2611,5463,0.478,552,1405,0.393,1067,1427,74.80%,683,2153,2836,1528,895,490,293,330,1143,6841,473
Toronto Raptors,66,3193,23,43,0.348,2268,5154,0.44,365,1075,0.34,1085,1410,77.00%,697,2074,2771,1382,1001,429,321,322,1532,5986,-218
Utah Jazz,66,3233,36,30,0.545,2523,5531,0.456,273,845,0.323,1258,1668,75.40%,861,2055,2916,1439,936,545,385,375,1441,6577,41
Washington Wizards,66,3173,20,46,0.303,2414,5475,0.441,344,1075,0.32,1008,1386,72.70%,775,1975,2750,1262,1008,527,417,300,1405,6180,-317
