Team,GP,MIN,W,L,Win%,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,+/-
Atlanta Hawks,82,3946,44,38,0.537,2971,6429,0.462,502,1427,0.352,1346,1728,77.90%,762,2460,3222,1802,1118,497,341,348,1554,7790,-67
Boston Celtics,82,3956,56,26,0.683,3023,6219,0.486,408,1119,0.365,1459,1895,77.00%,639,2542,3181,1921,1195,676,344,364,1678,7913,440
Charlotte Bobcats,82,3961,34,48,0.415,2873,6365,0.451,393,1203,0.327,1511,1999,75.60%,848,2444,3292,1728,1192,524,433,496,1637,7650,-328
Chicago Bulls,82,3966,62,20,0.756,3042,6587,0.462,511,1415,0.361,1492,2008,74.30%,967,2654,3621,1827,1161,592,468,477,1639,8087,600
Cleveland Cavaliers,82,3951,19,63,0.232,2886,6647,0.434,509,1489,0.342,1546,2075,74.50%,856,2449,3305,1720,1166,544,341,489,1648,7827,-739
Dallas Mavericks,82,3941,57,25,0.695,3069,6463,0.475,645,1768,0.365,1437,1850,77.70%,780,2618,3398,1954,1145,557,352,303,1575,8220,347
Denver Nuggets,82,3941,50,32,0.61,3145,6613,0.476,662,1704,0.388,1859,2429,76.50%,791,2652,3443,1813,1157,605,352,488,1719,8811,390
Detroit Pistons,82,3976,30,52,0.366,3056,6647,0.46,472,1256,0.376,1367,1854,73.70%,931,2236,3167,1730,1067,595,328,381,1629,7951,-295
Golden State Warriors,82,3966,36,46,0.439,3251,7047,0.461,685,1749,0.392,1290,1695,76.10%,955,2370,3325,1847,1198,737,406,352,1806,8477,-191
Houston Rockets,82,3976,43,39,0.524,3170,6975,0.454,677,1843,0.367,1668,2083,80.10%,962,2549,3511,1955,1110,581,371,449,1641,8685,179
Indiana Pacers,82,3956,37,45,0.451,3003,6787,0.442,585,1653,0.354,1592,2035,78.20%,914,2657,3571,1611,1262,584,456,467,1782,8183,-88
Los Angeles Clippers,82,3971,32,50,0.39,3015,6594,0.457,513,1519,0.338,1546,2187,70.70%,955,2501,3456,1813,1343,585,402,404,1733,8089,-257
Los Angeles Lakers,82,3966,57,25,0.695,3128,6757,0.463,524,1487,0.352,1541,1979,77.90%,989,2616,3605,1801,1073,602,422,372,1555,8321,501
Memphis Grizzlies,82,3976,46,36,0.561,3200,6801,0.471,309,926,0.334,1486,1981,75.00%,970,2391,3361,1691,1145,771,441,505,1705,8195,192
Miami Heat,82,3956,58,24,0.707,3031,6301,0.481,547,1479,0.37,1760,2288,76.90%,790,2666,3456,1639,1142,544,430,246,1674,8369,612
Milwaukee Bucks,82,3966,35,47,0.427,2814,6544,0.43,483,1414,0.342,1423,1881,75.70%,862,2480,3342,1545,1103,617,399,392,1682,7534,-69
Minnesota Timberwolves,82,3956,17,65,0.207,3090,7014,0.441,589,1565,0.376,1519,1977,76.80%,1085,2556,3641,1650,1398,592,422,447,1825,8288,-544
New Jersey Nets,82,4001,24,58,0.293,2918,6638,0.44,459,1337,0.343,1427,1881,75.90%,909,2440,3349,1723,1152,458,384,375,1807,7722,-512
New Orleans Hornets,82,3966,46,36,0.561,2944,6416,0.459,444,1232,0.36,1452,1897,76.50%,824,2468,3292,1691,1069,624,359,396,1719,7784,73
New York Knicks,82,3956,42,40,0.512,3140,6867,0.457,765,2081,0.368,1689,2087,80.90%,847,2470,3317,1757,1123,625,475,360,1743,8734,64
Oklahoma City Thunder,82,4001,55,27,0.671,3066,6609,0.464,487,1403,0.347,1977,2401,82.30%,903,2604,3507,1672,1156,654,487,356,1836,8596,311
Orlando Magic,82,3966,52,30,0.634,2956,6411,0.461,770,2103,0.366,1453,2101,69.20%,864,2679,3543,1636,1224,548,384,310,1640,8135,448
Philadelphia 76ers,82,3986,41,41,0.5,3125,6776,0.461,443,1248,0.355,1426,1851,77.00%,850,2578,3428,1861,1063,621,355,376,1592,8119,123
Phoenix Suns,82,4001,40,42,0.488,3219,6844,0.47,701,1857,0.377,1472,1939,75.90%,821,2478,3299,1945,1169,545,357,356,1666,8611,-73
Portland Trail Blazers,82,3961,48,34,0.585,2951,6599,0.447,518,1503,0.345,1476,1835,80.40%,996,2230,3226,1736,1070,660,358,339,1585,7896,125
Sacramento Kings,82,3971,24,58,0.293,3134,6979,0.449,428,1277,0.335,1455,1981,73.40%,1071,2526,3597,1675,1324,608,391,464,1805,8151,-438
San Antonio Spurs,82,3956,61,21,0.744,3148,6628,0.475,685,1727,0.397,1521,1984,76.70%,829,2603,3432,1836,1101,602,372,374,1556,8502,468
Toronto Raptors,82,3956,22,60,0.268,3144,6755,0.465,345,1091,0.316,1491,1976,75.50%,963,2343,3306,1795,1206,581,350,456,1807,8124,-515
Utah Jazz,82,3976,39,43,0.476,3064,6590,0.465,435,1256,0.346,1590,2061,77.10%,898,2338,3236,1921,1175,629,484,411,1865,8153,-150
Washington Wizards,82,3986,23,59,0.28,3048,6888,0.443,392,1182,0.332,1489,1999,74.50%,1013,2374,3387,1592,1258,665,502,413,1850,7977,-607
