Player Name,Team,Assists,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Milwaukee,2,3,3-6,0-0,26:56,1,8,2,2-3,3,1
Marquis Daniels,Milwaukee,1,2,3-9,1-4,19:18,1,7,1,0-1,2,1
Ersan Ilyasova,Milwaukee,3,1,4,2-5,0-0,21:00,1,1,4,0-1,5,1
Monta Ellis,Milwaukee,2,4,3-8,1-2,27:38,1,8,4,1-3,4,6
J.J. Redick,Milwaukee,4,2,2-9,0-0,25:30,6,2,2-6,2,1
Luc Richard Mbah a Moute,Milwaukee,1,3,4-9,0-0,31:39,1,8,0-2,3
Brandon Jennings,Milwaukee,4,3,10-16,6-6,35:39,5,30,1,4-9,3,4
Larry Sanders,Milwaukee,2,1,7,4-10,0-0,30:27,2,3,8,2,0-0,9,2
Ish Smith,Milwaukee,1-2,0-0,4:35,2,0-0,1
Gustavo Ayon,Milwaukee,4,0-0,0-2,9:49,1,2,1,0-0,5,1
John Henson,Milwaukee,1-1,0-0,7:29,1,2,0-0,1,1
Juwan Howard,Miami,1,0-0,0-0,2:04,0-0,1,1
Ray Allen,Miami,2,3,4-13,1-1,24:56,1,3,11,1,2-8,4,3
Rashard Lewis,Miami,4,3-11,0-0,27:19,1,6,3,0-6,4,2
Mike Miller,Miami,4,3,2-7,0-0,21:00,1,5,1-5,4,1
Shane Battier,Miami,1,1-5,0-0,20:41,2,3,2,1-5
Chris Andersen,Miami,3,4-7,0-0,22:06,6,1,9,1-1,9,1
LeBron James,Miami,7,1,6,11-16,6-6,30:04,1,28,2,0-1,7,3
James Jones,Miami,3,1,2,2-6,0-0,17:56,6,1,2-5,2
Udonis Haslem,Miami,1,10,5-10,0-0,23:35,5,2,10,0-0,15,1
Mario Chalmers,Miami,3,1,2-4,0-0,28:39,2,5,2,1-3,1,1
Jarvis Varnado,Miami,0-0,0-0,2:04,0-0,1
Norris Cole,Miami,2,2,4-9,3-3,19:36,2,11,1,0-1,2,3
