Player Name,Team,Assists,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Plus Minus,Points Scored,Three Pointers,Total Rebounds,Turnovers
Travis Outlaw,Sacramento,3,1,4,2-8,1-2,28:52,-9,5,0-2,4,1
Jason Thompson,Sacramento,2,2,4-6,0-2,26:44,3,2,+5,8,0-0,5,1
DeMarcus Cousins,Sacramento,2,1,9,14-29,2-3,37:03,3,3,-13,30,3,0-0,12,3
Ray McCallum,Sacramento,8,1,3,7-15,5-5,42:48,1,3,-1,23,3,4-4,4
Ben McLemore,Sacramento,1,6-13,3-4,32:08,3,-7,16,1-3,1,1
Derrick Williams,Sacramento,2,4,2-9,3-4,29:06,4,1,+5,7,0-1,8,1
Reggie Evans,Sacramento,3,6,2-4,0-0,22:51,3,4,+2,4,2,0-0,9,4
Jared Cunningham,Sacramento,1,1,2,1-6,0-0,11:33,1,+11,2,1,0-1,2
Quincy Acy,Sacramento,1-1,2-2,8:55,2,+2,4,1,0-0
LaMarcus Aldridge,Portland,2,1,1,6,9-20,4-6,37:05,2,+13,22,2,0-0,8,1
Nicolas Batum,Portland,6,1,1,5-8,0-0,36:37,3,-11,11,1-3,1,4
Robin Lopez,Portland,1,1,7,4-7,5-6,36:48,2,1,-8,13,0-0,9
Wesley Matthews,Portland,3,4,7-12,3-3,37:37,4,+12,19,2-7,4,2
Damian Lillard,Portland,10,4,6-11,4-5,37:06,1,3,-17,19,3-7,5,5
Dorell Wright,Portland,2,4,1-5,0-0,15:46,1,+5,3,2,1-4,4,1
Thomas Robinson,Portland,9,4-5,0-0,13:46,3,+1,8,0-0,9,4
Will Barton,Portland,1,2-6,1-2,13:13,1,-4,5,0-1,1
Earl Watson,Portland,3,3,0-1,0-0,12:02,3,+14,0-1,3
