Player Name,Team,Assists,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Three Pointers,Total Rebounds,Turnovers
Joe Johnson,Brooklyn,5,1,2,11-19,7-8,36:33,2,1,-9,31,2-6,4,2
Mirza Teletovic,Brooklyn,2,6,5-17,2-4,31:39,3,4,+11,17,1,5-12,9,1
Kevin Garnett,Brooklyn,6,6,2-2,1-1,16:32,2,1,-2,5,0-0,8,1
Alan Anderson,Brooklyn,1,6,3-4,2-4,33:12,1,1,+11,9,1-2,7,2
Deron Williams,Brooklyn,5,2,2,3-14,4-6,33:08,1,4,-5,11,3,1-6,3,3
Mason Plumlee,Brooklyn,1,3,7-8,2-3,27:04,2,6,16,0-0,5,2
Andrei Kirilenko,Brooklyn,2,2,2-3,1-2,23:37,-17,5,2,0-0,2
Marcus Thornton,Brooklyn,3-8,6-6,23:09,1,3,-9,13,1,1-3,1,1
Jorge Gutierrez,Brooklyn,2,1,2-4,0-0,14:52,1,3,+1,4,0-0,2,1
Jason Collins,Brooklyn,0-0,0-0,0:14,-1,0-0
Maurice Harkless,Orlando,2,1,2-7,3-4,31:47,1,3,-9,8,2,1-3,1,2
Kyle O'Quinn,Orlando,1,2,3,6-9,1-2,27:52,5,4,+9,13,1,0-0,8,1
Dewayne Dedmon,Orlando,2,7,2-3,0-1,19:37,2,2,-7,4,1,0-0,9
Arron Afflalo,Orlando,5,3,9-16,5-8,33:15,1,4,-14,25,2-5,4,1
Jameer Nelson,Orlando,7,4,4-9,4-4,28:42,1,2,-10,14,1,2-6,5,4
Andrew Nicholson,Orlando,3,4-7,1-2,24:50,1,+7,9,0-0,3,1
Tobias Harris,Orlando,1,7,6-10,3-5,23:39,1,4,+1,16,2,1-1,8,2
Victor Oladipo,Orlando,6,3,4-8,1-4,19:18,+14,9,1,0-2,3,3
E'Twaun Moore,Orlando,1,6-6,0-0,18:25,2,+17,17,1,5-5
Doron Lamb,Orlando,3,0-2,0-0,12:35,2,+12,1,0-2
