Player Name,Team,Assists,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Thaddeus Young,Philadelphia,1,1,7-17,2-2,39:56,1,-19,16,1,0-6,2,1
Hollis Thompson,Philadelphia,1,1,1,3-6,0-0,30:40,1,5,+2,8,2-5,2
Henry Sims,Philadelphia,1,5,10-15,2-2,30:43,3,5,-6,22,0-0,8,3
Michael Carter-Williams,Philadelphia,8,1,7,7-12,5-5,36:55,2,4,-13,19,0-0,9,3
James Anderson,Philadelphia,3,1,3,4,6-14,0-0,31:10,2,3,-19,17,5-7,6
Elliot Williams,Philadelphia,3,2,4,4-9,2-2,26:13,2,-3,11,1-3,4
Tony Wroten,Philadelphia,3,2,4-7,3-3,19:02,3,11,0-0,2,1
Jarvis Varnado,Philadelphia,2,1,1,2-3,2-4,17:17,2,-5,6,1,0-0,1
Brandon Davies,Philadelphia,1,2,1-2,2-3,8:04,1,+8,4,0-0,2
Patrick Patterson,Toronto,1,3,2,7-11,0-2,37:59,3,2,+23,17,3-5,5,1
Terrence Ross,Toronto,4,1,1,2,3-7,2-2,33:39,1,+6,11,1,3-5,2,1
Jonas Valanciunas,Toronto,1,2,9,10-14,6-8,36:56,3,2,+14,26,0-0,12,1
Kyle Lowry,Toronto,8,1,5,9-19,9-9,37:58,3,+12,29,2-7,5
DeMar DeRozan,Toronto,5,1,4,4-14,9-10,33:58,1,+7,17,0-1,5,2
John Salmons,Toronto,3,3-4,0-0,17:43,1,2,+6,7,1-1,1
Greivis Vasquez,Toronto,2,1,2-3,2-2,13:28,1,+7,8,2-3,1
Tyler Hansbrough,Toronto,1,1,2,2-4,3-4,10:12,2,2,-6,7,0-0,4
Chuck Hayes,Toronto,0-0,0-0,7:25,1,-3,1,0-0,1
Nando De Colo,Toronto,1,1-5,0-0,7:14,1,-5,3,1-2
Steve Novak,Toronto,1,0-1,0-0,3:28,1,-6,0-1,1
