Player Name,Team,Assists,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Durant,Oklahoma City,4,1,2,8-26,10-11,41:07,1,3,+5,27,2,1-7,3,2
Serge Ibaka,Oklahoma City,1,4,6,5-12,4-4,29:41,1,4,+10,15,1-1,7,1
Kendrick Perkins,Oklahoma City,1,3,3-3,0-0,21:47,1,2,+7,6,0-0,4
Russell Westbrook,Oklahoma City,6,3,8,12-24,6-8,33:08,3,2,+15,30,2,0-3,11,1
Thabo Sefolosha,Oklahoma City,2,1,1-3,0-0,23:38,4,+13,3,2,1-2,1
Reggie Jackson,Oklahoma City,2,1,1,3,3-8,1-2,23:47,-5,9,2-5,3,1
Caron Butler,Oklahoma City,1,1,2,2-5,0-0,19:53,1,3,-19,4,0-1,3,1
Steven Adams,Oklahoma City,1,5,2-2,3-5,19:34,2,3,+5,7,1,0-0,7
Derek Fisher,Oklahoma City,1,1,1-6,2-2,15:10,1,-8,4,1,0-2,1,1
Nick Collison,Oklahoma City,1,2,1-1,0-0,12:15,2,2,+7,2,0-0,4,1
Grant Jerrett,Oklahoma City,Inactive
Blake Griffin,LA Clippers,1,2,7,11-23,8-11,39:11,5,4,-6,30,0-1,12,3
Matt Barnes,LA Clippers,3,2,2,5,3-9,0-0,29:09,2,3,-5,7,1-4,7,2
DeAndre Jordan,LA Clippers,3,7,4-6,2-8,32:43,5,2,-10,10,1,0-0,12,1
Chris Paul,LA Clippers,8,1,4,8-17,6-9,39:57,1,4,-7,25,2,3-7,5,4
J.J. Redick,LA Clippers,8,1,3,1-7,1-1,27:20,1,-9,4,1,1-7,3,3
Darren Collison,LA Clippers,3,1,3,4-11,3-3,29:07,1,+3,12,1-3,3,2
Glen Davis,LA Clippers,4,2-4,0-0,11:52,2,2,4,1,0-0,6,1
Hedo Turkoglu,LA Clippers,1,3,3-7,1-2,11:51,3,+5,9,1,2-4,3
Reggie Bullock,LA Clippers,1,0-0,0-0,11:48,2,+2,0-0,1
Jared Dudley,LA Clippers,0-2,0-0,7:03,-3,1,0-1
