Player Name,Team,Assists,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,4,2,2,5-13,4-4,22:35,1,4,-11,16,1,2-4,3,2
Terrence Jones,Houston,1,1,1,2,5-8,0-1,17:24,2,3,-5,11,2,1-1,4
Omer Asik,Houston,1,2,10,5-8,2-2,24:15,2,1,-1,12,0-0,12,2
James Harden,Houston,6,1,4,1-9,8-8,25:46,-19,10,1,0-4,4,1
Jeremy Lin,Houston,6,6-11,2-2,23:31,1,4,-8,18,4-6,1,2
Jordan Hamilton,Houston,1,1,5,4-9,1-2,29:57,3,1,+7,11,2,2-6,8,1
Donatas Motiejunas,Houston,1,1,4,4-9,3-4,29:50,1,-6,11,0-1,4,1
Isaiah Canaan,Houston,6,2,1,2-10,1-2,24:09,2,3,+3,6,2,1-8,3,4
Omri Casspi,Houston,1,1,3,1-4,0-0,11:34,-17,2,0-2,3
Robert Covington,Houston,1,2-3,0-0,11:05,1,+15,5,1,1-1,2,1
Troy Daniels,Houston,1,2,4-6,0-0,11:05,1,+15,12,4-6,2,1
Francisco Garcia,Houston,1,1,1-2,0-0,8:49,2,-8,2,0-1,1
Quincy Miller,Denver,2,4,1,5,4-15,0-0,40:29,3,4,+13,9,1,1-4,8,1
Kenneth Faried,Denver,1,1,8,11-17,1-2,26:22,1,4,23,0-0,9,3
Timofey Mozgov,Denver,1,2,6,9-13,4-4,25:09,1,+15,22,0-1,6
Randy Foye,Denver,15,3,10-17,4-4,38:18,2,1,+26,30,2,6-10,5,1
Aaron Brooks,Denver,7,1,3,5,5-15,2-2,36:50,4,-2,13,2,1-6,5,3
Evan Fournier,Denver,1,1,5-9,1-2,26:56,3,-11,14,3-6,1,2
Jan Vesely,Denver,3,2,3-5,0-0,22:51,4,3,-8,6,3,0-0,6
Darrell Arthur,Denver,1,1,3,2-7,0-0,17:49,+7,4,1,0-1,3
Anthony Randolph,Denver,1,1-3,0-0,5:16,1,-5,2,1,0-0,1,1
