Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,2,1,1,11,7-12,6-9,39:17,4,3,-4,20,1,0-0,15,3
Kawhi Leonard,San Antonio,5,10,5-14,4-5,36:57,6,2,+10,16,2,2-6,16,2
Tiago Splitter,San Antonio,1,1,6-10,0-0,28:06,2,3,+39,12,0-0,3,1
Patty Mills,San Antonio,6,2,2,9-25,2-2,35:39,2,+26,26,2,6-11,2
Danny Green,San Antonio,1,5,5-9,0-0,22:23,1,+13,15,1,5-9,5
Manu Ginobili,San Antonio,7,1,2,4-8,0-0,28:37,2,-6,10,2,2-4,2,5
Marco Belinelli,San Antonio,2-7,2-2,20:09,1,4,-3,7,1-4,1
Boris Diaw,San Antonio,1,1,0-3,0-0,19:32,2,3,-15,1,0-0,3,1
Cory Joseph,San Antonio,1,0-0,3-4,8:16,2,-15,3,0-0,1
Jeff Ayres,San Antonio,0-0,0-0,0:32,0-0
Austin Daye,San Antonio,0-0,0-0,0:32,0-0
Dirk Nowitzki,Dallas,1,6,8-14,3-5,34:11,1,-10,19,1,0-0,6
Shawn Marion,Dallas,1,2,3,5-7,0-0,29:27,2,-17,12,2-3,3,2
Samuel Dalembert,Dallas,1,1,1,7,1-5,0-0,19:58,4,2,-23,2,0-0,11
Monta Ellis,Dallas,4,4,10-22,4-4,37:49,3,-8,24,1,0-1,4,2
Jose Calderon,Dallas,1,3,5-11,2-2,27:54,-22,14,2-3,3,2
Devin Harris,Dallas,4,1,2,1-8,5-6,27:10,+22,8,3,1-5,2,2
Vince Carter,Dallas,2,1,4,2-5,2-2,27:07,3,+2,6,0-0,4
Brandan Wright,Dallas,1,4-6,0-0,17:09,2,1,+1,8,0-0,3,1
Jae Crowder,Dallas,1,2,0-1,0-0,9:14,+2,0-0,2
DeJuan Blair,Dallas,1,2,2-3,1-2,8:26,2,4,+8,5,0-0,4,1
Wayne Ellington,Dallas,0-0,0-0,0:32,0-0
Bernard James,Dallas,0-0,0-0,0:32,0-0
Shane Larkin,Dallas,1-1,0-0,0:32,1,2,0-0
