Player Name,Team,Assists,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds
P.J. Tucker,Phoenix,1,8,6-9,3-4,32:30,1,3,+17,15,1,0-1,9
Channing Frye,Phoenix,1,1,1,5,2-8,0-0,25:45,2,+11,4,1,0-3,5,1
Miles Plumlee,Phoenix,1,5,1-2,0-0,24:14,1,2,+8,2,0-0,6,1
Goran Dragic,Phoenix,9,3,3,8-14,2-2,38:59,2,+11,20,1,2-3,3,2
Eric Bledsoe,Phoenix,6,2,3,5,7-13,1-2,38:07,1,2,+7,16,2,1-2,6,4
Markieff Morris,Phoenix,2,5,5-12,0-0,28:59,1,2,+12,10,0-0,6,1
Gerald Green,Phoenix,1,1,8-14,1-2,24:13,1,2,-11,21,4-7,2,3
Marcus Morris,Phoenix,2,1,2-8,0-0,17:47,2,-10,6,2-3
Ish Smith,Phoenix,0-0,0-0,4:54,1,-4,0-0
Shavlik Randolph,Phoenix,0-0,0-0,4:32,1,-11,0-0,1
Darius Miller,New Orleans,2,1,5-9,3-3,31:29,1,4,+2,14,2,1-4,2,1
Al-Farouq Aminu,New Orleans,1,1,3,2-8,0-0,21:37,2,1,-1,5,1,1-1,5,4
Greg Stiemsma,New Orleans,2,8,2-6,0-0,27:23,3,-18,4,2,0-0,8
Tyreke Evans,New Orleans,3,5,4-11,1-2,29:25,3,3,-22,10,1-2,8,4
Brian Roberts,New Orleans,2,1,3,1-8,0-0,20:11,1,1,-8,2,0-2,4,2
Austin Rivers,New Orleans,8,1,3,7,4-12,2-4,30:10,2,10,0-1,7,1
Luke Babbitt,New Orleans,2,1,4,4-8,2-2,28:25,2,+9,12,2-3,4
Anthony Morrow,New Orleans,4,2,5-8,3-3,27:45,+2,14,1,1-1,2
Jeff Withey,New Orleans,3,1,1,1,7-10,3-3,23:37,1,1,+6,17,0-0,2
