Player Name,Team,Assists,Blocked Shots,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds
Kawhi Leonard,San Antonio,1,1,6,5-10,1-1,26:58,3,-10,11,2,0-2,6
Tim Duncan,San Antonio,1,4,3,4-11,2-4,19:54,3,2,-26,10,0-0,6,3
Boris Diaw,San Antonio,5,1,3,6-13,0-0,22:48,2,4,-11,13,1-2,5,5
Danny Green,San Antonio,4,1,2,1-6,3-4,24:49,4,-3,5,1,0-4,2,2
Cory Joseph,San Antonio,2,1,4-5,5-8,19:59,1,2,13,3,0-0,2,1
Marco Belinelli,San Antonio,1,1,1,1-4,1-2,25:57,-8,3,0-0,1
Patty Mills,San Antonio,1,3-7,0-0,22:13,1,-12,8,2-3,1
Jeff Ayres,San Antonio,1,1,3-4,1-2,20:19,3,2,+9,7,1,0-0,4
Matt Bonner,San Antonio,2,2,5-8,0-0,19:59,1,1,-1,11,1-3,3
Manu Ginobili,San Antonio,1,1,2,3-7,1-2,14:37,-22,7,1,0-1,2,1
Tiago Splitter,San Antonio,1,3,0-2,1-2,13:00,1,2,-9,1,0-0,4,3
Austin Daye,San Antonio,1,1-3,0-0,4:44,1,-1,2,0-2,1
Damion James,San Antonio,1,0-1,0-0,4:44,-1,0-0,1
Kevin Love,Minnesota,4,1,10,5-15,7-7,32:50,2,+14,19,2-6,12,4
Corey Brewer,Minnesota,2,3,5-8,3-3,28:31,1,+24,14,4,1-1,3,2
Gorgui Dieng,Minnesota,1,5,8,4-15,4-5,26:42,7,3,+20,12,0-0,15
Robbie Hummel,Minnesota,4,4-10,0-0,35:13,3,2,+13,9,1,1-4,7,1
Ricky Rubio,Minnesota,7,1,2,10-17,3-4,34:05,2,+25,23,1,0-1,2,2
J.J. Barea,Minnesota,4,1,3-9,1-1,21:25,4,7,0-2,1,5
Ronny Turiaf,Minnesota,1,1,6,4-5,2-4,21:18,3,3,-1,10,0-0,9,1
Luc Richard Mbah a Moute,Minnesota,1,5-7,0-0,19:16,1,2,-2,11,1-1,1
Dante Cunningham,Minnesota,5,1,2-4,1-2,15:10,+5,5,3,0-0,1
Alexey Shved,Minnesota,1,0-1,0-0,3:57,1,-2,0-0,1
Othyus Jeffers,Minnesota,0-0,0-0,1:34,-1,0-0
